"partnerid","AvgClickPer1Min","status"
"8i7uk","1.12","OK"
"8i7ux","1.09","OK"
"8i7va","1.00","OK"
"8i7vb","1.10","OK"
"8i7vf","2.00","OK"
"8i7vp","3.80","OK"
"8i7vq","1.45","OK"
"8i7vz","1.10","OK"
"8i7w2","1.08","OK"
"8i7wb","1.10","OK"
"8i7wi","1.23","OK"
"8i7wr","1.22","OK"
"8i7wv","1.07","OK"
"8i7xd","1.57","Observation"
"8i7yy","1.00","OK"
"8i7z7","1.03","OK"
"8i7zf","1.00","OK"
"8i7zk","1.20","OK"
"8i7zl","1.32","OK"
"8i804","1.17","OK"
"8i806","1.18","OK"
"8i80a","1.14","OK"
"8i80j","1.00","OK"
"8i81d","1.17","OK"
"8i81i","1.00","OK"
"8i828","1.91","OK"
"8i82g","1.00","OK"
"8i82r","1.00","OK"
"8i82x","1.00","OK"
"8i830","1.00","OK"
"8i833","1.02","OK"
"8i83a","1.00","OK"
"8i83y","1.00","OK"
"8i84n","1.00","OK"
"8i84o","1.00","OK"
"8i84w","1.00","OK"
"8i85v","1.04","OK"
"8i86i","1.00","OK"
"8i88w","1.04","OK"
"8i89m","1.33","OK"
"8i8ar","1.00","OK"
"8i8bx","1.01","OK"
"8i8cj","1.00","OK"
"8i8do","1.00","OK"
"8i8e5","1.16","OK"
"8i8e7","1.00","OK"
"8i8ef","1.00","OK"
"8i8en","1.00","OK"
"8i8fk","1.11","OK"
"8i8fm","1.08","Observation"
"8i8fn","1.12","OK"
"8i8fq","1.18","OK"
"8i8ft","1.04","OK"
"8i8g3","1.00","OK"
"8i8go","1.21","Observation"
"8i8gu","1.00","OK"
"8i8gx","1.00","OK"
"8i8gz","1.00","OK"
"8i8h2","1.00","OK"
"8i8h7","1.31","Fraud"
"8i8hw","1.00","OK"
"8i8ih","1.00","OK"
"8i8is","1.08","OK"
"8i8iv","1.11","OK"
"8i8j2","1.02","OK"
"8i8jl","1.00","OK"
"8i8k3","1.00","OK"
"8i8kg","1.00","OK"
"8i8ku","1.00","OK"
"8i8le","1.00","OK"
"8i8lx","1.00","OK"
"8i8m6","1.10","OK"
"8i8mq","1.00","OK"
"8i8mr","1.00","OK"
"8i8n6","1.00","OK"
"8i8no","1.09","OK"
"8i8nq","1.00","OK"
"8i8nr","1.20","OK"
"8i8oh","1.00","OK"
"8i8p1","1.00","OK"
"8i8pz","1.00","OK"
"8i8q4","1.12","OK"
"8i8qk","1.00","OK"
"8i8qn","1.00","OK"
"8i8rs","1.00","OK"
"8i8s9","1.00","OK"
"8i8t2","1.00","OK"
"8i8tt","1.02","Observation"
"8i8tw","1.00","OK"
"8i8u1","1.00","OK"
"8i8u7","1.00","OK"
"8i8u8","1.12","OK"
"8i8ub","1.04","OK"
"8i8ui","1.00","OK"
"8i8wd","1.00","OK"
"8i8xq","1.00","OK"
"8i8ye","1.82","OK"
"8i8yi","1.20","OK"
"8i8yn","1.10","OK"
"8i8yu","1.09","OK"
"8i8z4","1.06","OK"
"8i8zd","1.00","OK"
"8i8ze","1.03","OK"
"8i8zi","1.06","OK"
"8i903","1.07","OK"
"8i90i","1.00","OK"
"8i90k","1.32","Fraud"
"8i90m","1.17","OK"
"8i91i","2.51","OK"
"8i922","3.86","OK"
"8i92t","2.85","OK"
"8i92u","1.00","OK"
"8i930","1.11","Observation"
"8i932","1.00","OK"
"8i936","1.17","OK"
"8i93o","1.00","OK"
"8i93q","1.08","OK"
"8i941","1.03","OK"
"8i949","1.09","OK"
"8i94e","1.00","OK"
"8i94n","1.00","OK"
"8i94y","1.06","OK"
"8i95z","1.01","OK"
"8i969","1.11","OK"
"8i96u","1.01","OK"
"8i96x","1.08","OK"
"8i98h","1.25","OK"
"8i99h","1.00","OK"
"8i9a2","1.00","OK"
"8i9at","1.00","OK"
"8i9aw","1.12","OK"
"8i9b4","1.00","OK"
"8i9bj","1.07","OK"
"8i9bm","1.16","OK"
"8i9bs","1.00","OK"
"8i9bw","1.14","OK"
"8i9bx","1.08","OK"
"8i9cn","1.05","OK"
"8i9co","1.04","OK"
"8i9cr","1.04","OK"
"8i9d0","1.25","OK"
"8i9d1","1.00","OK"
"8i9d5","1.04","OK"
"8i9da","1.19","OK"
"8i9db","1.00","OK"
"8i9dg","1.00","OK"
"8i9dp","1.00","OK"
"8i9dv","1.14","OK"
"8i9e1","1.00","OK"
"8i9e9","1.09","OK"
"8i9ed","1.00","OK"
"8i9eg","1.00","OK"
"8i9eq","1.00","OK"
"8i9f0","1.00","OK"
"8i9fl","1.00","OK"
"8i9fv","1.00","OK"
"8i9g2","1.02","OK"
"8i9gl","1.00","OK"
"8i9h8","1.00","OK"
"8i9hj","1.00","OK"
"8i9hm","1.04","OK"
"8i9hn","1.04","OK"
"8i9ht","1.19","OK"
"8i9hu","1.38","OK"
"8i9hw","1.00","OK"
"8i9hx","1.42","OK"
"8i9hz","1.00","OK"
"8i9i1","1.49","OK"
"8i9i3","1.84","OK"
"8i9i4","1.04","OK"
"8i9i5","1.23","Observation"
"8i9i7","1.04","OK"
"8i9i9","1.12","OK"
"8i9ia","1.36","OK"
"8i9ib","1.00","OK"
"8i9ic","1.12","OK"
"8i9id","1.08","OK"
"8i9ie","1.20","OK"
"8i9ig","1.20","OK"
"8i9ih","1.03","OK"
"8i9ii","1.34","Observation"
"8i9ij","1.36","OK"
"8i9ik","1.20","OK"
"8i9im","1.08","OK"
"8i9in","1.52","OK"
"8i9ip","1.00","OK"
"8i9j4","1.73","OK"
"8i9j6","5.28","Observation"
"8i9jf","1.00","OK"
"8i9jg","1.51","OK"
"8i9ji","1.06","OK"
"8i9jj","2.95","OK"
"8i9jr","1.00","OK"
"8i9kq","1.06","OK"
"8i9ky","1.00","OK"
"8i9nd","1.00","OK"
"8i9ng","1.00","OK"
"8i9np","1.14","OK"
"8i9os","1.00","OK"
"8i9ot","1.00","OK"
"8i9p1","1.00","OK"
"8i9p3","1.00","OK"
"8i9p4","1.00","OK"
"8i9p7","1.00","OK"
"8i9p8","1.00","OK"
"8i9pt","1.00","OK"
"8i9q6","1.00","OK"
"8i9ql","1.94","OK"
"8i9qu","1.11","OK"
"8i9s9","1.09","OK"
"8i9sm","1.00","OK"
"8i9t0","1.00","OK"
"8i9tt","1.00","OK"
"8i9u6","1.00","OK"
"8i9vn","1.19","OK"
"8i9ws","1.19","Fraud"
"8i9xb","1.00","OK"
"8i9z5","1.02","OK"
"8i9z6","1.14","OK"
"8i9z7","1.00","OK"
"8i9zb","1.02","OK"
"8i9zp","1.15","OK"
"8i9zy","1.00","OK"
"8ia0j","1.08","OK"
"8ia0n","1.00","OK"
"8ia11","1.04","OK"
"8ia16","1.03","OK"
"8ia19","1.00","OK"
"8ia1e","1.00","OK"
"8ia25","1.00","OK"
"8ia51","1.22","OK"
"8ia54","1.00","OK"
"8ia62","1.00","OK"
"8ia6z","1.00","OK"
"8ia7h","1.05","OK"
"8ia7p","1.00","OK"
"8ia7z","1.00","OK"
"8ia80","1.32","OK"
"8ia8k","1.00","OK"
"8ia8u","1.01","OK"
"8ia99","1.00","OK"
"8ia9b","1.05","OK"
"8ia9d","1.00","OK"
"8ia9m","1.04","OK"
"8ia9n","1.00","OK"
"8iaa6","1.00","OK"
"8iaar","1.05","OK"
"8iaay","1.05","OK"
"8iaaz","1.06","OK"
"8iab9","1.02","OK"
"8iabd","1.02","OK"
"8iabk","1.33","OK"
"8iabp","1.06","OK"
"8iac5","1.00","OK"
"8iac6","1.08","OK"
"8iact","1.10","OK"
"8iadk","1.05","OK"
"8iadn","1.00","OK"
"8iadr","3.58","Observation"
"8iadt","1.32","OK"
"8iae2","1.00","OK"
"8iae4","1.00","OK"
"8iaeq","1.00","OK"
"8iafg","1.04","OK"
"8iafi","1.09","OK"
"8iagk","1.12","OK"
"8iagn","1.00","OK"
"8iagp","1.27","OK"
"8iagv","1.06","OK"
"8iah0","1.07","OK"
"8iaim","1.00","OK"
"8iaj2","1.05","OK"
"8iajv","1.00","OK"
"8iak0","1.04","OK"
"8iaks","1.00","OK"
"8ial7","1.00","OK"
"8ialk","2.00","OK"
"8ialy","1.10","OK"
"8iam0","1.00","OK"
"8iam4","1.00","OK"
"8iamd","3.26","Observation"
"8iaml","1.00","OK"
"8iaob","1.00","OK"
"8iaps","1.00","OK"
"8iaqk","1.00","OK"
"8iaqp","1.04","OK"
"8iaqy","1.00","OK"
"8iar6","1.00","OK"
"8iark","1.00","OK"
"8iaru","1.09","OK"
"8iasq","1.08","OK"
"8iasz","1.22","Observation"
"8iata","1.07","OK"
"8iatv","1.14","OK"
"8iau4","1.00","OK"
"8iau5","1.00","OK"
"8iau7","1.00","OK"
"8iauu","2.89","OK"
"8iavq","1.92","OK"
"8iavx","1.18","OK"
"8iawe","1.00","OK"
"8iawh","1.04","OK"
"8iaxa","1.00","OK"
"8iaxj","9.28","Fraud"
"8iayy","1.00","OK"
"8iazm","1.11","OK"
"8ib0l","1.08","OK"
"8ib0m","1.00","OK"
"8ib12","1.05","OK"
"8ib14","1.20","OK"
"8ib16","1.07","OK"
"8ib1i","1.00","OK"
"8ib1j","1.00","OK"
"8ib1t","1.00","OK"
"8ib1v","1.00","OK"
"8ib1x","1.00","OK"
"8ib25","1.00","OK"
"8ib26","1.00","OK"
"8ib2d","1.00","OK"
"8ib2w","1.10","OK"
"8ib34","1.00","OK"
"8ib46","1.00","OK"
"8ib4v","1.00","OK"
"8ib4y","1.00","OK"
"8ib4z","1.10","OK"
"8ib56","1.38","OK"
"8ib5i","1.31","OK"
"8ib63","1.00","OK"
"8ib6f","1.00","OK"
"8ib6i","1.00","OK"
"8ib6x","1.09","OK"
"8ib7h","1.10","OK"
"8ib7i","1.00","OK"
"8ib9m","1.00","OK"
"8ib9o","1.50","OK"
"8ib9v","1.00","OK"
"8ibah","1.29","OK"
"8ibam","1.00","OK"
"8ibay","1.00","OK"
"8ibbr","1.04","OK"
"8ibbv","1.00","OK"
"8ibcb","1.00","OK"
"8ibcv","1.01","OK"
"8ibdg","1.05","OK"
"8ibdl","1.11","OK"
"8ibdm","1.50","OK"
"8iber","1.00","OK"
"8ibf5","1.00","OK"
"8ibfa","1.00","OK"
"8ibg2","1.05","OK"
"8ibg6","1.00","OK"
"8ibgj","1.00","OK"
"8ibgo","1.00","OK"
"8ibgx","1.00","OK"
"8ibhn","1.00","OK"
"8ibid","1.00","OK"
"8ibiw","1.13","OK"
"8ibjf","1.05","OK"
"8ibjo","1.04","OK"
"8ibke","1.00","OK"
"8ibkr","1.40","Fraud"
"8ibl1","1.00","OK"
"8ibmd","1.00","OK"
"8ibmq","1.00","OK"
"8ibmx","1.00","OK"
"8ibn2","1.00","OK"
"8ibnz","2.00","OK"
"8ibo7","1.00","OK"
"8ibop","1.00","OK"
"8ibp0","1.12","OK"
"8ibp7","1.00","OK"
"8ibp9","1.29","OK"
"8ibpi","1.00","OK"
"8ibr7","1.00","OK"
"8ibt9","1.00","OK"
"8ibtd","1.00","OK"
"8ibub","1.00","OK"
"8ibug","1.11","OK"
"8ibum","1.11","OK"
"8ibup","1.12","OK"
"8ibv4","1.41","OK"
"8ibw8","1.19","OK"
"8ibxb","1.03","OK"
"8ic07","1.04","OK"
"8ic0m","1.20","OK"
"8ic0y","1.04","OK"
"8ic1s","1.00","OK"
"8ic1t","1.02","OK"
"8ic1x","1.00","OK"
"8ic26","1.15","OK"
"8ic2e","1.00","OK"
"8ic2q","1.00","OK"
"8ic3a","1.00","OK"
"8ic3g","1.00","OK"
"8ic3o","1.02","OK"
"8ic3r","1.00","OK"
"8ic3w","1.00","OK"
"8ic46","1.03","OK"
"8ic4i","1.08","OK"
"8ic4v","1.16","OK"
"8ic50","1.00","OK"
"8ic51","1.00","OK"
"8ic55","1.00","OK"
"8ic56","1.51","OK"
"8ic59","1.00","OK"
"8ic5b","1.00","OK"
"8ic6b","1.03","OK"
"8ic6d","1.00","OK"
"8ic6r","1.00","OK"
"8ic78","1.00","OK"
"8ic7z","1.00","OK"
"8ic8g","1.00","OK"
"8ic9a","1.00","OK"
"8ic9l","1.04","OK"
"8ic9r","1.00","OK"
"8ica0","2.00","OK"
"8icam","1.00","OK"
"8icaw","1.00","OK"
"8icb3","1.00","OK"
"8icb9","1.00","OK"
"8icbb","1.04","OK"
"8iccd","1.03","OK"
"8iccn","1.01","OK"
"8icdb","1.10","OK"
"8icdj","1.00","OK"
"8ice8","1.15","OK"
"8icee","1.08","OK"
"8icef","1.04","OK"
"8icfc","1.00","OK"
"8icfe","3.51","Observation"
"8icff","1.38","Observation"
"8icfm","1.00","OK"
"8icgh","1.00","OK"
"8ich8","1.00","OK"
"8ichd","1.08","OK"
"8ichj","1.00","OK"
"8ichk","1.12","OK"
"8ichs","1.00","OK"
"8ichw","1.00","OK"
"8icia","1.09","OK"
"8icim","1.00","OK"
"8icin","1.49","OK"
"8icix","1.00","OK"
"8icoz","1.00","OK"
"8icp7","1.10","OK"
"8icq7","1.13","OK"
"8ictc","1.00","OK"
"8ictf","1.00","OK"
"8ictz","1.08","OK"
"8icu9","1.08","OK"
"8icuy","1.02","OK"
"8icv3","1.00","OK"
"8icvc","1.30","OK"
"8icwe","1.00","OK"
"8icx6","1.00","OK"
"8icxc","1.00","OK"
"8icxd","1.00","OK"
"8icxf","1.33","OK"
"8icxl","1.03","OK"
"8icyy","1.00","OK"
"8icz2","1.09","OK"
"8iczh","1.12","Fraud"
"8id02","1.27","OK"
"8id03","1.08","OK"
"8id0y","1.00","OK"
"8id0z","1.02","OK"
"8id1a","1.13","OK"
"8id2f","1.00","OK"
"8id2s","1.00","OK"
"8id2w","1.00","OK"
"8id2z","1.00","OK"
"8id56","1.00","OK"
"8id57","1.11","OK"
"8id5b","1.00","OK"
"8id5p","1.12","Fraud"
"8id6y","1.20","OK"
"8id6z","1.06","OK"
"8id7o","1.02","OK"
"8id7z","1.00","OK"
"8id89","1.00","OK"
"8id8z","1.00","OK"
"8id9y","1.03","OK"
"8ida1","1.29","OK"
"8idam","1.00","OK"
"8idbx","1.00","OK"
"8idc4","1.00","OK"
"8iddj","1.54","OK"
"8iddv","1.00","OK"
"8iddw","1.00","OK"
"8ide1","1.00","OK"
"8ide5","1.00","OK"
"8idem","1.00","OK"
"8idf6","1.00","OK"
"8idfl","1.00","OK"
"8idg8","2.00","OK"
"8idgb","1.00","OK"
"8idh3","1.00","OK"
"8idhm","1.11","Fraud"
"8idhn","1.05","OK"
"8idhp","1.15","OK"
"8idhs","1.00","OK"
"8idht","1.00","OK"
"8idhw","2.00","OK"
"8idi0","1.00","OK"
"8idi1","1.14","OK"
"8idi4","1.00","OK"
"8idi5","1.00","OK"
"8idi7","1.06","OK"
"8idib","1.00","OK"
"8idit","1.12","Fraud"
"8idmr","1.00","OK"
"8idn9","1.11","OK"
"8idnv","1.00","OK"
"8idny","1.00","OK"
"8ido2","1.03","OK"
"8idoa","1.23","OK"
"8idob","1.50","OK"
"8idoc","1.25","OK"
"8idou","1.09","OK"
"8idp1","2.00","OK"
"8idp3","1.00","OK"
"8ie57","1.00","OK"
"8ie5k","2.00","OK"
"8ie7p","1.00","OK"
"8ie82","1.33","OK"
"8ie98","1.75","OK"
"8ie9s","1.00","OK"
"8iea1","1.20","OK"
"8ieaq","1.10","OK"
"8ieaz","1.39","OK"
"8ieb4","1.00","OK"
"8iebt","1.00","OK"
"8iebx","1.00","OK"
"8ief6","1.00","OK"
"8iefb","1.07","OK"
"8iefl","1.07","OK"
"8iefo","1.00","OK"
"8iefs","1.00","OK"
"8ieg2","1.01","OK"
"8iegi","1.00","OK"
"8ieh3","1.00","OK"
"8iehk","1.00","OK"
"8ieht","8.21","Observation"
"8iejt","1.00","OK"
"8iel9","1.09","OK"
"8ielc","1.00","OK"
"8iem5","1.14","Fraud"
"8iemj","1.00","OK"
"8ien9","1.00","OK"
"8ieo7","1.00","OK"
"8ieol","1.00","OK"
"8ieqn","1.00","OK"
"8iequ","1.00","OK"
"8ies6","1.10","OK"
"8ies8","1.04","OK"
"8ieso","1.00","OK"
"8iet9","3.05","OK"
"8ietw","1.00","OK"
"8ieuh","1.00","OK"
"8iev9","1.00","OK"
"8ievj","1.00","OK"
"8ievt","1.10","OK"
"8ievz","2.28","Fraud"
"8iex1","1.63","OK"
"8iex9","1.38","OK"
"8iexi","1.00","OK"
"8iext","1.00","OK"
"8if13","1.22","OK"
"8if2b","1.00","OK"
"8if3m","1.04","OK"
"8if4w","1.00","OK"
"8if5c","1.00","OK"
"8if5p","1.04","OK"
"8if6n","1.00","OK"
"8if7b","1.00","OK"
"8if9o","3.84","Fraud"
"8ifa1","9.78","Observation"
"8ifan","1.03","OK"
"8ifcw","1.26","Fraud"
"8ifem","1.00","OK"
"8iff5","1.25","OK"
"8iff6","1.00","OK"
"8iffk","1.09","OK"
"8ifg0","1.00","OK"
"8ifg9","1.00","OK"
"8ifgn","1.00","OK"
"8ifik","1.05","OK"
"8ifm5","1.00","OK"
"8ifma","1.04","OK"
"8ifmk","1.00","OK"
"8ifna","1.00","OK"
"8ifnd","1.00","OK"
"8ifog","1.09","OK"
"8ifov","1.00","OK"
"8ifqc","1.03","OK"
"8ifqi","1.41","Fraud"
"8ifqk","2.16","OK"
"8ifvn","1.00","OK"
"8ifwd","1.00","OK"
"8ifzw","1.00","OK"
"8ig0z","1.00","OK"
"8ig13","1.03","OK"
"8ig4x","1.00","OK"
"8ig5c","1.00","OK"
"8ig76","1.06","OK"
"8ig8i","1.13","OK"
"8igb7","1.00","OK"
"8igbs","1.00","OK"
"8igbt","1.00","OK"
"8igbu","1.00","OK"
"8igc1","1.09","OK"
"8igcb","1.00","OK"
"8igdb","1.00","OK"
"8igdp","1.00","OK"
"8igem","1.10","OK"
"8igew","1.00","OK"
"8igfs","1.06","OK"
"8igh8","1.00","OK"
"8igih","1.00","OK"
"8igj2","1.02","OK"
"8igji","1.00","OK"
"8igkk","1.00","OK"
"8igkp","1.00","OK"
"8igl1","1.05","OK"
"8igl7","1.25","OK"
"8iglk","2.20","OK"
"8igm1","1.00","OK"
"8igm8","1.18","OK"
"8igmr","1.33","OK"
"8ign1","1.00","OK"
"8ignc","1.00","OK"
"8igne","1.00","OK"
"8igo3","1.27","OK"
"8igo7","1.12","OK"
"8igox","1.00","OK"
"8igpd","2.00","OK"
"8igpr","1.00","OK"
"8igql","1.08","OK"
"8igqx","1.00","OK"
"8igr1","1.00","OK"
"8igsh","1.00","OK"
"8igsi","1.00","OK"
"8igts","1.00","OK"
"8igv1","1.10","OK"
"8igvd","1.00","OK"
"8igy3","1.06","OK"
"8igyy","1.25","Observation"
"8igz8","1.19","OK"
"8igzo","1.00","OK"
"8igzs","1.00","OK"
"8igzy","1.00","OK"
"8igzz","1.00","OK"
"8ih09","1.19","Fraud"
"8ih1h","1.29","OK"
"8ih1j","1.00","OK"
"8ih20","1.00","OK"
"8ih2n","1.03","OK"
"8ih3o","1.00","OK"
"8ih4k","1.00","OK"
"8ih6i","1.00","OK"
"8iha2","1.18","Observation"
"8ihab","1.00","OK"
"8ihac","1.00","OK"
"8ihaj","1.00","OK"
"8ihba","1.16","Observation"
"8ihbr","1.00","OK"
"8ihbx","2.06","OK"
"8ihc4","1.22","OK"
"8ihcj","1.00","OK"
"8ihck","1.00","OK"
"8ihcm","1.00","OK"
"8ihct","1.00","OK"
"8ihcu","1.00","OK"
"8ihd5","1.00","OK"
"8ihdv","1.07","OK"
"8ihe5","1.10","OK"
"8ihhk","1.00","OK"
"8ihij","1.00","OK"
"8ihik","1.02","OK"
"8ihk7","1.47","Observation"
"8ihkj","1.00","OK"
"8ihkt","1.04","OK"
"8ihl1","1.00","Fraud"
"8ihl9","1.05","OK"
"8ihlr","1.04","OK"
"8ihn7","1.00","OK"
"8ihna","1.05","OK"
"8ihnk","1.00","OK"
"8ihot","1.00","OK"
"8ihpi","18.00","OK"
"8ihqx","1.07","OK"
"8ihrz","1.00","OK"
"8ihs5","1.00","OK"
"8ihsd","1.12","OK"
"8ihsp","1.07","OK"
"8ihth","1.00","OK"
"8ihtk","1.00","OK"
"8ihtv","1.07","OK"
"8ihue","1.00","OK"
"8ihuk","1.00","OK"
"8ihup","1.08","OK"
"8ihuv","1.00","OK"
"8ihuy","1.00","OK"
"8ihv1","1.08","OK"
"8ihvb","1.00","OK"
"8ihwi","1.00","OK"
"8ihwm","1.00","OK"
"8ihxc","1.00","OK"
"8ihxl","1.00","OK"
"8ihxp","1.00","OK"
"8ihxy","1.00","OK"
"8ihy6","1.00","OK"
"8ihyb","1.00","OK"
"8ihyi","1.00","OK"
"8ihz5","1.00","OK"
"8ihzv","1.00","OK"
"8ihzw","1.00","OK"
"8ihzy","1.36","OK"
"8ii07","1.00","OK"
"8ii0g","1.08","OK"
"8ii0i","1.07","OK"
"8ii0k","2.12","OK"
"8ii11","1.50","OK"
"8ii14","1.06","OK"
"8ii1p","1.00","OK"
"8ii1r","1.12","OK"
"8ii26","1.13","OK"
"8ii2b","1.12","OK"
"8ii2l","1.00","OK"
"8ii2n","1.00","OK"
"8ii3a","1.11","OK"
"8ii4l","1.17","OK"
"8ii4n","1.00","OK"
"8ii4y","1.00","OK"
"8ii58","1.02","OK"
"8ii5a","1.00","OK"
"8ii5u","1.00","OK"
"8ii6o","1.13","OK"
"8ii7u","1.13","OK"
"8ii9a","1.05","OK"
"8iiai","1.00","OK"
"8iiby","1.00","OK"
"8iic8","2.00","OK"
"8iicn","1.00","OK"
"8iid3","1.17","OK"
"8iid4","7.02","Fraud"
"8iidh","1.06","OK"
"8iidk","1.39","OK"
"8iidm","1.36","OK"
"8iidn","1.48","OK"
"8iidr","1.52","OK"
"8iie9","1.00","OK"
"8iieo","1.00","OK"
"8iig5","1.28","OK"
"8iigf","2.00","OK"
"8iigk","1.00","OK"
"8iigl","1.38","OK"
"8iigz","1.00","OK"
"8iih9","1.13","OK"
"8iiii","1.00","OK"
"8iiiv","1.00","OK"
"8iij1","1.00","OK"
"8iijd","1.00","OK"
"8iijk","1.03","OK"
"8iijt","1.29","OK"
"8iik1","1.51","OK"
"8iilm","1.00","OK"
"8iim7","1.00","OK"
"8iimi","1.00","OK"
