"partnerid","MaxSameCntrCount","status"
"8i7uk","23","OK"
"8i7ux","96","OK"
"8i7va","5","OK"
"8i7vb","8","OK"
"8i7vf","2","OK"
"8i7vp","2912","OK"
"8i7vq","933","OK"
"8i7vz","158","OK"
"8i7w2","92","OK"
"8i7wb","93","OK"
"8i7wi","1289","OK"
"8i7wr","1344","OK"
"8i7wv","163","OK"
"8i7xd","340","Observation"
"8i7yy","3","OK"
"8i7z7","77","OK"
"8i7zf","2","OK"
"8i7zk","1137","OK"
"8i7zl","1581","OK"
"8i804","7","OK"
"8i806","460","OK"
"8i80a","479","OK"
"8i80j","2","OK"
"8i81d","13","OK"
"8i81i","4","OK"
"8i828","2775","OK"
"8i82g","10","OK"
"8i82r","3","OK"
"8i82x","2","OK"
"8i830","2","OK"
"8i833","37","OK"
"8i83a","1","OK"
"8i83y","1","OK"
"8i84n","17","OK"
"8i84o","19","OK"
"8i84w","1","OK"
"8i85v","62","OK"
"8i86i","1","OK"
"8i88w","28","OK"
"8i89m","2","OK"
"8i8ar","5","OK"
"8i8bx","21","OK"
"8i8cj","1","OK"
"8i8do","2","OK"
"8i8e5","50","OK"
"8i8e7","1","OK"
"8i8ef","9","OK"
"8i8en","3","OK"
"8i8fk","9","OK"
"8i8fm","144","Observation"
"8i8fn","12","OK"
"8i8fq","36","OK"
"8i8ft","18","OK"
"8i8g3","1","OK"
"8i8go","284","Observation"
"8i8gu","1","OK"
"8i8gx","1","OK"
"8i8gz","1","OK"
"8i8h2","2","OK"
"8i8h7","338","Fraud"
"8i8hw","8","OK"
"8i8ih","2","OK"
"8i8is","162","OK"
"8i8iv","13","OK"
"8i8j2","44","OK"
"8i8jl","2","OK"
"8i8k3","8","OK"
"8i8kg","1","OK"
"8i8ku","7","OK"
"8i8le","4","OK"
"8i8lx","1","OK"
"8i8m6","320","OK"
"8i8mq","4","OK"
"8i8mr","2","OK"
"8i8n6","9","OK"
"8i8no","55","OK"
"8i8nq","1","OK"
"8i8nr","987","OK"
"8i8oh","1","OK"
"8i8p1","22","OK"
"8i8pz","1","OK"
"8i8q4","36","OK"
"8i8qk","3","OK"
"8i8qn","1","OK"
"8i8rs","1","OK"
"8i8s9","1","OK"
"8i8t2","2","OK"
"8i8tt","117","Observation"
"8i8tw","1","OK"
"8i8u1","2","OK"
"8i8u7","1","OK"
"8i8u8","65","OK"
"8i8ub","27","OK"
"8i8ui","3","OK"
"8i8wd","6","OK"
"8i8xq","101","OK"
"8i8ye","2923","OK"
"8i8yi","7","OK"
"8i8yn","22","OK"
"8i8yu","38","OK"
"8i8z4","168","OK"
"8i8zd","4","OK"
"8i8ze","62","OK"
"8i8zi","7","OK"
"8i903","25","OK"
"8i90i","1","OK"
"8i90k","1063","Fraud"
"8i90m","559","OK"
"8i91i","940","OK"
"8i922","2413","OK"
"8i92t","1527","OK"
"8i92u","1","OK"
"8i930","456","Observation"
"8i932","4","OK"
"8i936","240","OK"
"8i93o","12","OK"
"8i93q","182","OK"
"8i941","84","OK"
"8i949","181","OK"
"8i94e","1","OK"
"8i94n","1","OK"
"8i94y","73","OK"
"8i95z","29","OK"
"8i969","214","OK"
"8i96u","70","OK"
"8i96x","7","OK"
"8i98h","4","OK"
"8i99h","8","OK"
"8i9a2","1","OK"
"8i9at","12","OK"
"8i9aw","597","OK"
"8i9b4","2","OK"
"8i9bj","14","OK"
"8i9bm","299","OK"
"8i9bs","7","OK"
"8i9bw","7","OK"
"8i9bx","11","OK"
"8i9cn","27","OK"
"8i9co","28","OK"
"8i9cr","23","OK"
"8i9d0","5","OK"
"8i9d1","1","OK"
"8i9d5","48","OK"
"8i9da","220","OK"
"8i9db","1","OK"
"8i9dg","1","OK"
"8i9dp","1","OK"
"8i9dv","11","OK"
"8i9e1","1","OK"
"8i9e9","95","OK"
"8i9ed","1","OK"
"8i9eg","1","OK"
"8i9eq","3","OK"
"8i9f0","3","OK"
"8i9fl","3","OK"
"8i9fv","1","OK"
"8i9g2","47","OK"
"8i9gl","1","OK"
"8i9h8","1","OK"
"8i9hj","1","OK"
"8i9hm","107","OK"
"8i9hn","25","OK"
"8i9ht","435","OK"
"8i9hu","517","OK"
"8i9hw","2","OK"
"8i9hx","596","OK"
"8i9hz","1","OK"
"8i9i1","2729","OK"
"8i9i3","3648","OK"
"8i9i4","27","OK"
"8i9i5","651","Observation"
"8i9i7","113","OK"
"8i9i9","37","OK"
"8i9ia","707","OK"
"8i9ib","17","OK"
"8i9ic","318","OK"
"8i9id","165","OK"
"8i9ie","83","OK"
"8i9ig","859","OK"
"8i9ih","131","OK"
"8i9ii","1808","Observation"
"8i9ij","60","OK"
"8i9ik","459","OK"
"8i9im","518","OK"
"8i9in","1024","OK"
"8i9ip","5","OK"
"8i9j4","1691","OK"
"8i9j6","18461","Observation"
"8i9jf","2","OK"
"8i9jg","446","OK"
"8i9ji","19","OK"
"8i9jj","504","OK"
"8i9jr","2","OK"
"8i9kq","49","OK"
"8i9ky","1","OK"
"8i9nd","1","OK"
"8i9ng","14","OK"
"8i9np","86","OK"
"8i9os","1","OK"
"8i9ot","337","OK"
"8i9p1","4","OK"
"8i9p3","9","OK"
"8i9p4","3","OK"
"8i9p7","14","OK"
"8i9p8","6","OK"
"8i9pt","2","OK"
"8i9q6","6","OK"
"8i9ql","4936","OK"
"8i9qu","50","OK"
"8i9s9","242","OK"
"8i9sm","4","OK"
"8i9t0","3","OK"
"8i9tt","16","OK"
"8i9u6","4","OK"
"8i9vn","357","OK"
"8i9ws","88","Fraud"
"8i9xb","40","OK"
"8i9z5","60","OK"
"8i9z6","7","OK"
"8i9z7","2","OK"
"8i9zb","52","OK"
"8i9zp","262","OK"
"8i9zy","4","OK"
"8ia0j","17","OK"
"8ia0n","22","OK"
"8ia11","11","OK"
"8ia16","159","OK"
"8ia19","5","OK"
"8ia1e","9","OK"
"8ia25","1","OK"
"8ia51","10","OK"
"8ia54","1","OK"
"8ia62","7","OK"
"8ia6z","44","OK"
"8ia7h","8","OK"
"8ia7p","35","OK"
"8ia7z","1","OK"
"8ia80","671","OK"
"8ia8k","1","OK"
"8ia8u","33","OK"
"8ia99","4","OK"
"8ia9b","39","OK"
"8ia9d","1","OK"
"8ia9m","58","OK"
"8ia9n","1","OK"
"8iaa6","1","OK"
"8iaar","10","OK"
"8iaay","46","OK"
"8iaaz","11","OK"
"8iab9","53","OK"
"8iabd","23","OK"
"8iabk","6","OK"
"8iabp","39","OK"
"8iac5","1","OK"
"8iac6","302","OK"
"8iact","23","OK"
"8iadk","24","OK"
"8iadn","1","OK"
"8iadr","9431","Observation"
"8iadt","1522","OK"
"8iae2","1","OK"
"8iae4","1","OK"
"8iaeq","1","OK"
"8iafg","59","OK"
"8iafi","78","OK"
"8iagk","83","OK"
"8iagn","1","OK"
"8iagp","8","OK"
"8iagv","7","OK"
"8iah0","4","OK"
"8iaim","1","OK"
"8iaj2","188","OK"
"8iajv","1","OK"
"8iak0","42","OK"
"8iaks","5","OK"
"8ial7","1","OK"
"8ialk","2","OK"
"8ialy","309","OK"
"8iam0","13","OK"
"8iam4","11","OK"
"8iamd","3932","Observation"
"8iaml","2","OK"
"8iaob","2","OK"
"8iaps","2","OK"
"8iaqk","2","OK"
"8iaqp","10","OK"
"8iaqy","1","OK"
"8iar6","5","OK"
"8iark","11","OK"
"8iaru","19","OK"
"8iasq","6","OK"
"8iasz","126","Observation"
"8iata","34","OK"
"8iatv","188","OK"
"8iau4","39","OK"
"8iau5","25","OK"
"8iau7","30","OK"
"8iauu","1852","OK"
"8iavq","996","OK"
"8iavx","127","OK"
"8iawe","1","OK"
"8iawh","25","OK"
"8iaxa","3","OK"
"8iaxj","17709","Fraud"
"8iayy","1","OK"
"8iazm","593","OK"
"8ib0l","264","OK"
"8ib0m","1","OK"
"8ib12","16","OK"
"8ib14","5","OK"
"8ib16","193","OK"
"8ib1i","1","OK"
"8ib1j","1","OK"
"8ib1t","11","OK"
"8ib1v","3","OK"
"8ib1x","1","OK"
"8ib25","24","OK"
"8ib26","11","OK"
"8ib2d","1","OK"
"8ib2w","8","OK"
"8ib34","2","OK"
"8ib46","2","OK"
"8ib4v","2","OK"
"8ib4y","8","OK"
"8ib4z","338","OK"
"8ib56","1610","OK"
"8ib5i","1923","OK"
"8ib63","2","OK"
"8ib6f","3","OK"
"8ib6i","5","OK"
"8ib6x","203","OK"
"8ib7h","26","OK"
"8ib7i","1","OK"
"8ib9m","1","OK"
"8ib9o","3","OK"
"8ib9v","2","OK"
"8ibah","1068","OK"
"8ibam","1","OK"
"8ibay","1","OK"
"8ibbr","19","OK"
"8ibbv","1","OK"
"8ibcb","1","OK"
"8ibcv","15","OK"
"8ibdg","74","OK"
"8ibdl","6","OK"
"8ibdm","1408","OK"
"8iber","2","OK"
"8ibf5","1","OK"
"8ibfa","1","OK"
"8ibg2","21","OK"
"8ibg6","1","OK"
"8ibgj","6","OK"
"8ibgo","4","OK"
"8ibgx","45","OK"
"8ibhn","7","OK"
"8ibid","4","OK"
"8ibiw","4","OK"
"8ibjf","119","OK"
"8ibjo","30","OK"
"8ibke","1","OK"
"8ibkr","804","Fraud"
"8ibl1","1","OK"
"8ibmd","2","OK"
"8ibmq","1","OK"
"8ibmx","3","OK"
"8ibn2","1","OK"
"8ibnz","2","OK"
"8ibo7","2","OK"
"8ibop","3","OK"
"8ibp0","52","OK"
"8ibp7","2","OK"
"8ibp9","17","OK"
"8ibpi","2","OK"
"8ibr7","1","OK"
"8ibt9","8","OK"
"8ibtd","1","OK"
"8ibub","1","OK"
"8ibug","103","OK"
"8ibum","37","OK"
"8ibup","250","OK"
"8ibv4","1286","OK"
"8ibw8","459","OK"
"8ibxb","56","OK"
"8ic07","26","OK"
"8ic0m","520","OK"
"8ic0y","20","OK"
"8ic1s","10","OK"
"8ic1t","101","OK"
"8ic1x","1","OK"
"8ic26","190","OK"
"8ic2e","3","OK"
"8ic2q","3","OK"
"8ic3a","13","OK"
"8ic3g","1","OK"
"8ic3o","17","OK"
"8ic3r","1","OK"
"8ic3w","4","OK"
"8ic46","23","OK"
"8ic4i","23","OK"
"8ic4v","289","OK"
"8ic50","1","OK"
"8ic51","6","OK"
"8ic55","2","OK"
"8ic56","1870","OK"
"8ic59","1","OK"
"8ic5b","10","OK"
"8ic6b","48","OK"
"8ic6d","9","OK"
"8ic6r","1","OK"
"8ic78","1","OK"
"8ic7z","2","OK"
"8ic8g","3","OK"
"8ic9a","2","OK"
"8ic9l","13","OK"
"8ic9r","2","OK"
"8ica0","22","OK"
"8icam","6","OK"
"8icaw","21","OK"
"8icb3","2","OK"
"8icb9","1","OK"
"8icbb","18","OK"
"8iccd","58","OK"
"8iccn","53","OK"
"8icdb","113","OK"
"8icdj","4","OK"
"8ice8","286","OK"
"8icee","17","OK"
"8icef","34","OK"
"8icfc","1","OK"
"8icfe","4214","Observation"
"8icff","1387","Observation"
"8icfm","1","OK"
"8icgh","2","OK"
"8ich8","1","OK"
"8ichd","338","OK"
"8ichj","8","OK"
"8ichk","238","OK"
"8ichs","1","OK"
"8ichw","11","OK"
"8icia","123","OK"
"8icim","13","OK"
"8icin","1443","OK"
"8icix","1","OK"
"8icoz","3","OK"
"8icp7","179","OK"
"8icq7","6","OK"
"8ictc","9","OK"
"8ictf","1","OK"
"8ictz","56","OK"
"8icu9","14","OK"
"8icuy","28","OK"
"8icv3","1","OK"
"8icvc","10","OK"
"8icwe","4","OK"
"8icx6","1","OK"
"8icxc","4","OK"
"8icxd","2","OK"
"8icxf","6","OK"
"8icxl","53","OK"
"8icyy","4","OK"
"8icz2","56","OK"
"8iczh","422","Fraud"
"8id02","732","OK"
"8id03","145","OK"
"8id0y","3","OK"
"8id0z","23","OK"
"8id1a","8","OK"
"8id2f","1","OK"
"8id2s","2","OK"
"8id2w","11","OK"
"8id2z","10","OK"
"8id56","1","OK"
"8id57","139","OK"
"8id5b","3","OK"
"8id5p","539","Fraud"
"8id6y","881","OK"
"8id6z","7","OK"
"8id7o","72","OK"
"8id7z","1","OK"
"8id89","4","OK"
"8id8z","1","OK"
"8id9y","31","OK"
"8ida1","789","OK"
"8idam","1","OK"
"8idbx","33","OK"
"8idc4","11","OK"
"8iddj","39","OK"
"8iddv","1","OK"
"8iddw","13","OK"
"8ide1","3","OK"
"8ide5","1","OK"
"8idem","3","OK"
"8idf6","1","OK"
"8idfl","3","OK"
"8idg8","2","OK"
"8idgb","1","OK"
"8idh3","1","OK"
"8idhm","203","Fraud"
"8idhn","6","OK"
"8idhp","28","OK"
"8idhs","5","OK"
"8idht","1","OK"
"8idhw","2","OK"
"8idi0","2","OK"
"8idi1","7","OK"
"8idi4","2","OK"
"8idi5","7","OK"
"8idi7","18","OK"
"8idib","1","OK"
"8idit","311","Fraud"
"8idmr","5","OK"
"8idn9","5","OK"
"8idnv","1","OK"
"8idny","1","OK"
"8ido2","27","OK"
"8idoa","12","OK"
"8idob","2","OK"
"8idoc","3","OK"
"8idou","4","OK"
"8idp1","2","OK"
"8idp3","1","OK"
"8ie57","1","OK"
"8ie5k","2","OK"
"8ie7p","1","OK"
"8ie82","3","OK"
"8ie98","7","OK"
"8ie9s","5","OK"
"8iea1","3","OK"
"8ieaq","21","OK"
"8ieaz","67","OK"
"8ieb4","3","OK"
"8iebt","1","OK"
"8iebx","7","OK"
"8ief6","7","OK"
"8iefb","107","OK"
"8iefl","435","OK"
"8iefo","1","OK"
"8iefs","4","OK"
"8ieg2","48","OK"
"8iegi","1","OK"
"8ieh3","7","OK"
"8iehk","14","OK"
"8ieht","6609","Observation"
"8iejt","3","OK"
"8iel9","195","OK"
"8ielc","8","OK"
"8iem5","582","Fraud"
"8iemj","1","OK"
"8ien9","7","OK"
"8ieo7","2","OK"
"8ieol","10","OK"
"8ieqn","11","OK"
"8iequ","1","OK"
"8ies6","7","OK"
"8ies8","137","OK"
"8ieso","1","OK"
"8iet9","5187","OK"
"8ietw","10","OK"
"8ieuh","2","OK"
"8iev9","1","OK"
"8ievj","14","OK"
"8ievt","22","OK"
"8ievz","114","Fraud"
"8iex1","30","OK"
"8iex9","1221","OK"
"8iexi","6","OK"
"8iext","6","OK"
"8if13","18","OK"
"8if2b","5","OK"
"8if3m","18","OK"
"8if4w","1","OK"
"8if5c","1","OK"
"8if5p","25","OK"
"8if6n","2","OK"
"8if7b","1","OK"
"8if9o","773","Fraud"
"8ifa1","17392","Observation"
"8ifan","33","OK"
"8ifcw","457","Fraud"
"8ifem","3","OK"
"8iff5","4","OK"
"8iff6","1","OK"
"8iffk","92","OK"
"8ifg0","1","OK"
"8ifg9","3","OK"
"8ifgn","4","OK"
"8ifik","98","OK"
"8ifm5","2","OK"
"8ifma","139","OK"
"8ifmk","1","OK"
"8ifna","9","OK"
"8ifnd","1","OK"
"8ifog","61","OK"
"8ifov","26","OK"
"8ifqc","84","OK"
"8ifqi","1547","Fraud"
"8ifqk","91","OK"
"8ifvn","1","OK"
"8ifwd","4","OK"
"8ifzw","7","OK"
"8ig0z","3","OK"
"8ig13","60","OK"
"8ig4x","4","OK"
"8ig5c","4","OK"
"8ig76","87","OK"
"8ig8i","26","OK"
"8igb7","13","OK"
"8igbs","5","OK"
"8igbt","6","OK"
"8igbu","6","OK"
"8igc1","30","OK"
"8igcb","3","OK"
"8igdb","3","OK"
"8igdp","1","OK"
"8igem","11","OK"
"8igew","1","OK"
"8igfs","22","OK"
"8igh8","6","OK"
"8igih","2","OK"
"8igj2","33","OK"
"8igji","7","OK"
"8igkk","1","OK"
"8igkp","7","OK"
"8igl1","32","OK"
"8igl7","3","OK"
"8iglk","22","OK"
"8igm1","3","OK"
"8igm8","8","OK"
"8igmr","10","OK"
"8ign1","1","OK"
"8ignc","3","OK"
"8igne","5","OK"
"8igo3","8","OK"
"8igo7","64","OK"
"8igox","18","OK"
"8igpd","4","OK"
"8igpr","2","OK"
"8igql","8","OK"
"8igqx","2","OK"
"8igr1","1","OK"
"8igsh","1","OK"
"8igsi","2","OK"
"8igts","2","OK"
"8igv1","10","OK"
"8igvd","2","OK"
"8igy3","4","OK"
"8igyy","711","Observation"
"8igz8","9","OK"
"8igzo","2","OK"
"8igzs","2","OK"
"8igzy","2","OK"
"8igzz","1","OK"
"8ih09","112","Fraud"
"8ih1h","5","OK"
"8ih1j","1","OK"
"8ih20","4","OK"
"8ih2n","31","OK"
"8ih3o","2","OK"
"8ih4k","3","OK"
"8ih6i","2","OK"
"8iha2","516","Observation"
"8ihab","12","OK"
"8ihac","5","OK"
"8ihaj","19","OK"
"8ihba","377","Observation"
"8ihbr","1","OK"
"8ihbx","4432","OK"
"8ihc4","608","OK"
"8ihcj","1","OK"
"8ihck","19","OK"
"8ihcm","2","OK"
"8ihct","2","OK"
"8ihcu","6","OK"
"8ihd5","5","OK"
"8ihdv","21","OK"
"8ihe5","229","OK"
"8ihhk","1","OK"
"8ihij","4","OK"
"8ihik","23","OK"
"8ihk7","3667","Observation"
"8ihkj","1","OK"
"8ihkt","203","OK"
"8ihl1","3","Fraud"
"8ihl9","115","OK"
"8ihlr","32","OK"
"8ihn7","43","OK"
"8ihna","63","OK"
"8ihnk","15","OK"
"8ihot","2","OK"
"8ihpi","8667","OK"
"8ihqx","178","OK"
"8ihrz","13","OK"
"8ihs5","7","OK"
"8ihsd","83","OK"
"8ihsp","38","OK"
"8ihth","8","OK"
"8ihtk","1","OK"
"8ihtv","44","OK"
"8ihue","3","OK"
"8ihuk","4","OK"
"8ihup","92","OK"
"8ihuv","1","OK"
"8ihuy","3","OK"
"8ihv1","89","OK"
"8ihvb","1","OK"
"8ihwi","1","OK"
"8ihwm","2","OK"
"8ihxc","1","OK"
"8ihxl","2","OK"
"8ihxp","1","OK"
"8ihxy","1","OK"
"8ihy6","2","OK"
"8ihyb","8","OK"
"8ihyi","1","OK"
"8ihz5","11","OK"
"8ihzv","2","OK"
"8ihzw","5","OK"
"8ihzy","66","OK"
"8ii07","8","OK"
"8ii0g","174","OK"
"8ii0i","158","OK"
"8ii0k","86","OK"
"8ii11","462","OK"
"8ii14","36","OK"
"8ii1p","2","OK"
"8ii1r","529","OK"
"8ii26","172","OK"
"8ii2b","306","OK"
"8ii2l","3","OK"
"8ii2n","2","OK"
"8ii3a","224","OK"
"8ii4l","7","OK"
"8ii4n","2","OK"
"8ii4y","1","OK"
"8ii58","23","OK"
"8ii5a","10","OK"
"8ii5u","1","OK"
"8ii6o","4","OK"
"8ii7u","183","OK"
"8ii9a","260","OK"
"8iiai","3","OK"
"8iiby","4","OK"
"8iic8","2","OK"
"8iicn","4","OK"
"8iid3","622","OK"
"8iid4","2969","Fraud"
"8iidh","22","OK"
"8iidk","361","OK"
"8iidm","1119","OK"
"8iidn","654","OK"
"8iidr","1235","OK"
"8iie9","11","OK"
"8iieo","1","OK"
"8iig5","709","OK"
"8iigf","2","OK"
"8iigk","1","OK"
"8iigl","520","OK"
"8iigz","53","OK"
"8iih9","152","OK"
"8iiii","3","OK"
"8iiiv","4","OK"
"8iij1","1","OK"
"8iijd","3","OK"
"8iijk","48","OK"
"8iijt","806","OK"
"8iik1","592","OK"
"8iilm","2","OK"
"8iim7","2","OK"
"8iimi","1","OK"
"8iina","657","OK"
"8iinm","2","OK"
"8iiov","3","OK"
"8iiq8","5","OK"
"8iiqq","2","OK"
"8iir0","47","OK"
"8iird","58","OK"
"8iitn","1","OK"
"8iitu","294","OK"
"8iitv","14","OK"
"8iivd","256","OK"
"8iivr","134","OK"
"8iiwo","4","OK"
"8iix3","1","OK"
"8iixo","30","OK"
"8iixv","35","OK"
"8iixy","5","OK"
"8iixz","2","OK"
"8iiy4","390","OK"
"8iiyk","20","OK"
"8ij00","2","OK"
"8ij02","17","OK"
"8ij0g","6729","OK"
"8ij0y","87","OK"
"8ij1v","1","OK"
"8ij22","23","OK"
"8ij28","2","OK"
"8ij2q","70","OK"
"8ij2z","74","OK"
"8ij34","1","OK"
"8ij3p","2","OK"
"8ij42","420","OK"
"8ij4e","2","OK"
"8ij4s","1","OK"
"8ij4w","3","OK"
"8ij4y","39","OK"
"8ij4z","2","OK"
"8ij59","159","OK"
"8ij5w","147","OK"
"8ij62","1","OK"
"8ij63","11","OK"
"8ij6x","11","OK"
"8ij77","1","OK"
"8ij7g","1","OK"
"8ij8t","3","OK"
"8ij92","501","OK"
"8ij9m","144","OK"
"8ijat","23","OK"
"8ijb4","3","OK"
"8ijb7","5","OK"
"8ijb8","1000","OK"
"8ijba","854","OK"
"8ijbf","361","OK"
"8ijcm","24","OK"
"8ijd3","17","OK"
"8ijdf","1","OK"
"8ije6","5","OK"
"8ijed","2","OK"
"8ijei","8","OK"
"8ijeq","3","OK"
"8ijf6","2","OK"
"8ijfb","78","OK"
"8ijfd","294","OK"
"8ijfl","1","OK"
"8ijgn","2","OK"
"8ijj1","1","OK"
"8ijjb","3","OK"
"8ijlc","2","OK"
"8ijmb","1","OK"
"8ijod","11","OK"
"8ijq9","5","OK"
"8ijql","59","Observation"
"8ijqm","3","OK"
"8ijqn","1","OK"
"8ijqw","3","OK"
"8ijro","16","OK"
"8ijs4","1","OK"
"8ijsn","8","OK"
"8ijsu","4","OK"
"8ijtd","2","OK"
"8ijub","11","OK"
"8ijva","3","OK"
"8ijw3","24","OK"
"8ijwf","4","OK"
"8ijx4","3","OK"
"8ijy9","31","OK"
"8ijyd","319","OK"
"8ijzd","179","Observation"
"8ijze","23","OK"
"8ijzf","2","OK"
"8ijzi","420","OK"
"8ijzj","410","Fraud"
"8ijzx","2783","OK"
"8ik0f","1","OK"
"8ik0g","2","OK"
"8ik0y","16","OK"
"8ik15","1","OK"
"8ik16","9","OK"
"8ik1o","1","OK"
"8ik1t","3","OK"
"8ik2b","16","OK"
"8ik2u","13","OK"
"8ik4w","6","OK"
"8ik58","4496","OK"
"8ik59","32","OK"
"8ik67","1","OK"
"8ik6c","13","OK"
"8ik6x","1","OK"
"8ik7d","167","OK"
"8ik7m","1","OK"
"8ik7q","1","OK"
"8ik9c","5","OK"
"8ik9l","1","OK"
"8ik9s","3","OK"
"8ik9t","71","OK"
"8ika3","13","OK"
"8ikah","502","OK"
"8ikap","3","OK"
"8ikaq","1","OK"
"8ikb5","101","OK"
"8ikba","31","OK"
"8ikc8","1","OK"
"8ikdj","13","OK"
"8ikdw","26","OK"
"8ike2","12","OK"
"8ikf1","32","OK"
"8ikfo","15","OK"
"8ikg6","13","OK"
"8ikg9","1","OK"
"8iki8","4","OK"
"8ikip","230","OK"
"8ikjp","11","OK"
"8iklg","1","OK"
"8ikm9","34","OK"
"8ikme","66","OK"
"8ikmz","2","OK"
"8ikn6","44","OK"
"8ikna","23","OK"
"8ikou","147","OK"
"8ikpq","110","Observation"
"8ikr4","545","OK"
"8iks0","16","OK"
"8ikt9","2446","Fraud"
"8ikuf","1","OK"
"8ikvr","29","OK"
"8ikyc","2","OK"
"8ikzq","258","OK"
"8il0o","2605","Fraud"
"8il17","2","OK"
"8il1w","837","OK"
"8il22","34","OK"
"8il2j","16","OK"
"8il2x","552","OK"
"8il3g","185","OK"
"8il3o","2","OK"
"8il3v","97","OK"
"8il4c","36","OK"
"8il4n","338","OK"
"8il4r","8","OK"
"8il6b","55","OK"
"8il79","12","OK"
"8il7m","2","OK"
"8il8k","4","OK"
"8ilbu","135","OK"
"8ilbx","3852","OK"
"8ilc9","3","OK"
"8ildb","22","OK"
"8ildi","2088","OK"
"8ildn","2","OK"
"8ilee","1","OK"
"8ilel","4","OK"
"8ilf9","117","OK"
"8ilff","17","OK"
"8ilfu","570","OK"
"8ilh8","2","OK"
"8ili5","63","OK"
"8iljx","2378","OK"
"8iljy","61","OK"
"8ill4","4","OK"
"8ilm3","1","OK"
"8ilm4","14","OK"
"8ilma","2","OK"
"8ilmh","2","OK"
"8ilnq","1","OK"
"8ilnu","12","OK"
"8iloh","7","OK"
"8ilok","1670","Observation"
"8ilp2","4","OK"
"8ilqt","2554","OK"
"8ils4","3","OK"
"8ils9","411","Observation"
"8ilu4","1","OK"
"8iluh","3","OK"
"8iluo","2","OK"
"8iluy","739","Observation"
"8ilyg","7","OK"
"8ilzp","85","OK"
"8ilzu","1","OK"
"8im0u","688","OK"
"8im11","5","OK"
"8im12","2","OK"
"8im1a","1","OK"
"8im1j","1","OK"
"8im29","3","OK"
"8im41","142","OK"
"8im4f","236","OK"
"8im4k","4","OK"
"8im4l","3","OK"
"8im50","1","OK"
"8im59","4066","OK"
"8im6c","7","OK"
"8im6t","1546","OK"
"8im78","73","OK"
"8im90","1","OK"
"8im9a","3790","OK"
"8imbb","1","OK"
"8imcs","233","OK"
"8imd2","15951","OK"
"8imdp","2","OK"
"8imdt","16","OK"
"8ime3","33","OK"
"8ime7","102","OK"
"8imef","5","OK"
"8imfu","1","OK"
"8img5","1","OK"
"8imgt","1500","OK"
"8imh7","4","OK"
"8imho","2","OK"
"8imhp","1","OK"
"8imhz","26","OK"
"8imi0","2","OK"
"8imib","8","OK"
"8imik","1","OK"
"8imk8","108","Observation"
"8imkc","138","Observation"
"8imkd","233","OK"
"8imko","3","OK"
"8immj","4716","OK"
"8immk","34","OK"
"8immq","1","OK"
"8immu","2","OK"
"8imna","37","OK"
"8imob","218","OK"
"8impo","132","OK"
"8imqe","296","OK"
"8imqn","3","OK"
"8imrg","10","OK"
"8imrr","74","OK"
"8ims6","653","Fraud"
"8imt7","1","OK"
"8imtk","5","OK"
"8imtz","1","OK"
"8imu3","28","OK"
"8imv2","66","OK"
"8imvn","807","OK"
"8imvu","4","OK"
"8imw6","4","OK"
"8imwm","27","OK"
"8imwn","41","OK"
